,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
1,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",199
2,setLightsOn(<*>),181
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
7,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
9,updateDimmedActivatedHideSensitive overlap:<*>,65
10,shouldBlockLocation running ...,37
11,shouldBlockLocation ret:<*>,37
12,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
13,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
14,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
15,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
16,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
17,Destroying surface Surface(name=<*>) called by <*>,25
18,suspendAutohide,23
19,"cancelNotification,index:<*>",23
20,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",21
21,cancelPeek: <*>,20
22,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
23,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
24,querySoundEffectsEnabled...,17
25,cancelAutohide,15
26,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
27,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
28,"Skipping, withExcluded: <*>, tr.intent:Intent { flg=<*> cmp=<*> bnds=<*> }",14
29,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",14
30,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
31,getRecentTasks: topActivity=ComponentInfo{<*>},14
32,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
33,"state.clipTopAmount:<*>, i:<*>",13
34,"updateNotificationShade: total=<*>, active=<*>",13
35,removeNotificationChildren,12
36,closeQs,12
37,isMusicActive...,12
38,resumeSuspendedAutohide,10
39,playSoundEffect effectType: <*>,10
40,instantCollapse,9
41,getLastAudibleStreamVolume treamType: <*>,9
42,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
43,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> flg=<*> cmp=<*> (has extras) }",7
44,"Skipping, withExcluded: <*>, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",7
45,"updateLightsLocked,turn off notificationLight",6
46,logNotificationVisibilityChanges runInThread start,6
47,onNotificationVisibilityChanged called,6
48,logNotificationVisibilityChanges runInThread over,6
49,The change in focus caused us to need to do a layout begin,6
50,The change in focus caused us to need to do a layout end,6
51,cleanUpApplicationRecord -- <*>,6
52,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
53,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
