,EventTemplate,Occurrences
0,generating core.<*>,721
1,iar <*> dear <*>,208
2,<*> floating point alignment exceptions,121
3,<*> double-hummer alignment exceptions,109
4,"CE sym <*>, at <*>, mask <*>",92
5,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
6,data TLB error interrupt,60
7,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
8,instruction cache parity error corrected,42
9,"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35
10,data storage interrupt,30
11,ciod: generated <*> core files for program <*>,30
12,instruction address: <*>,21
13,"ciod: Error loading <*>: invalid or missing program image, No such file or directory",21
14,"ciod: Error loading <*>: invalid or missing program image, Permission denied",19
15,ciod: LOGIN chdir(<*>) failed: No such file or directory,18
16,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",18
17,"ciod: Error loading <*>: invalid or missing program image, Exec format error",17
18,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
19,total of <*> ddr error(s) detected and corrected,13
20,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",9
21,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,9
22,Lustre mount FAILED : <*> : point <*>,9
23,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",9
24,data address: <*>,8
25,program interrupt: illegal instruction......<*>,8
26,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed",8
27,core configuration register: <*>,7
28,MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),7
29,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",7
30,exception syndrome register: <*>,6
31,Node card is not fully functional,6
32,Can not get assembly information for node card,6
33,rts: kernel terminated for reason <*>,6
34,data cache search parity error detected. attempting to correct,6
35,machine check: i-fetch......................<*>,5
36,data store interrupt caused by dcbf.........<*>,5
37,program interrupt: privileged instruction...<*>,5
38,program interrupt: imprecise exception......<*>,5
39,data store interrupt caused by icbi.........<*>,5
40,auxiliary processor.........................<*>,5
41,floating pt ex mode <*> enable......<*>,5
42,data address space................<*>,5
43,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,5
44,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,5
45,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",5
46,machine state register: <*>,4
47,floating point instr. enabled.....<*>,4
48,program interrupt: fp cr field .............<*>,4
49,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer",4
50,total of <*> ddr error(s) detected and corrected over <*> seconds,4
51,ciod: failed to read message prefix on control stream (CioStream socket to <*>,3
52,"problem state (<*>=sup,<*>=usr).......<*>",3
53,disable store gathering..................<*>,3
54,program interrupt,3
55,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
56,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,3
57,ciod: pollControlDescriptors: Detected the debugger died.,3
58,force load/store alignment...............<*>,2
59,store operation.............................<*>,2
60,machine check enable..............<*>,2
61,program interrupt: unimplemented operation..<*>,2
62,byte ordering exception.....................<*>,2
63,guaranteed instruction cache block touch.<*>,2
64,icache prefetch threshold................<*>,2
65,debug wait enable.................<*>,2
66,ciod: Missing or invalid fields on line <*> of node map file <*>,2
67,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,2
68,rts panic! - stopping execution,2
69,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",2
70,suppressing further interrupts of same type,2
71,"critical input interrupt (unit=<*> bit=<*>): warning for torus z+ wire, suppressing further interrupts of same type",2
72,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,2
73,Lustre mount FAILED : <*> : block_id : location,2
74,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out",2
75,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,2
76,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
77,ciod: Message code <*> is not <*> or <*>,1
78,program interrupt: trap instruction.........<*>,1
79,debug interrupt enable............<*>,1
80,program interrupt: fp cr update.............<*>,1
81,guaranteed data cache block touch........<*>,1
82,icache prefetch depth....................<*>,1
83,wait state enable.................<*>,1
84,critical input interrupt enable...<*>,1
85,special purpose registers:,1
86,lr:<*> cr:<*> xer:<*> ctr:<*>,1
87,rts internal error,1
88,instruction address space.........<*>,1
89,ciod: Error creating node map from file <*>: No child processes,1
90,ciod: Error creating node map from file <*>: Bad file descriptor,1
91,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
92,ciod: Error creating node map from file <*>: Block device required,1
93,ciod: Error creating node map from file <*>: Permission denied,1
94,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
95,"rts: kernel terminated for reason <*>: bad message header: invalid cpu, type=<*>, cpu=<*>, index=<*>, total=<*>",1
96,NodeCard is not fully functional,1
97,"Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.",1
98,"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
99,rts tree/torus link training failed: wanted: <*> got: <*>,1
100,<*> torus receiver x+ input pipe error(s) (dcr <*>) detected and corrected,1
101,"ciod: In packet from node <*> (<*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)",1
102,<*> torus receiver y+ input pipe error(s) (dcr <*>) detected and corrected,1
103,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,1
104,critical input interrupt (unit=<*> bit=<*>): warning for torus y+ wire,1
105,shutdown complete,1
106,critical input interrupt (unit=<*> bit=<*>): warning for torus z- wire,1
107,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,1
108,dbcr0=<*> dbsr=<*> ccr0=<*>,1
109,r24=<*> r25=<*> r26=<*> r27=<*>,1
110,"PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>",1
111,minus normalized number..................<*>,1
112,fraction rounded.........................<*>,1
113,"critical input interrupt (unit=<*> bit=<*>): warning for tree C1 wire, suppressing further interrupts of same type",1
114,size of scratchpad portion of L3.........<*> (<*>),1
115,ciod: LOGIN chdir(<*>) failed: Input/output error,1
116,<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> seconds,1
117,"ciod: Error loading <*>: program image too big, <*> > <*>",1
118,fpr29=<*>,1
119,Machine State Register: <*>,1
