,EventTemplate,Occurrences
0,Address change detected. Old: <*>/<*> New: <*>,476
1,Failed to renew lease for [<*>] for <*> seconds. Will retry shortly ...,326
2,Progress of TaskAttempt <*> is : <*>,289
3,ERROR IN CONTACTING RM.,147
4,"Retrying connect to server: <*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)",146
5,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>",131
6,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,130
7,Resolved <*> to <*>,39
8,<*> TaskAttempt Transitioned from NEW to UNASSIGNED,14
9,Processing the event EventType: <*> for container <*> taskAttempt <*>,13
10,Opening proxy : <*>,13
11,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>",12
12,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,12
13,<*> Task Transitioned from NEW to SCHEDULED,11
14,Got allocated containers <*>,10
15,Assigned container <*> to <*>,10
16,<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,10
17,Launching <*>,10
18,Shuffle port returned by ContainerManager for <*> : <*>,10
19,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>],10
20,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,10
21,ATTEMPT_START <*>,10
22,<*> Task Transitioned from SCHEDULED to RUNNING,10
23,Auth successful for <*> (auth:SIMPLE),10
24,JVM with ID : <*> asked for a task,10
25,JVM with ID: <*> given task: <*>,10
26,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,9
27,Before Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:<*> ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>,5
28,Diagnostics report from <*>: Error: java.net.NoRouteToHostException: No Route to Host from MININT-<*>/<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,4
29,Default file system [hdfs://<*>],3
30,KILLING <*>,3
31,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
32,Starting Socket Reader #<*> for port <*>,2
33,IPC Server Responder: starting,2
34,IPC Server listener on <*>: starting,2
35,adding path spec: <*>,2
36,Received completed container <*>,2
37,Task: <*> - exited : java.net.NoRouteToHostException: No Route to Host from MININT-<*>/<*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: http://wiki.apache.org/hadoop/NoRouteToHost,2
38,<*> TaskAttempt Transitioned from RUNNING to FAIL_CONTAINER_CLEANUP,2
39,<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP,2
40,Processing the event EventType: TASK_ABORT,2
41,Task cleanup failed for attempt <*>,2
42,<*> TaskAttempt Transitioned from FAIL_TASK_CLEANUP to FAILED,2
43,<*> failures on node MININT-<*>,2
44,Added <*> to list of failed maps,2
45,Created MRAppMaster for application <*>,1
46,Executing with tokens:,1
47,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",1
48,Using mapred newApiCommitter.,1
49,OutputCommitter set in config <*>,1
50,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
51,Emitting job history data to the timeline server is not enabled,1
52,loaded properties from hadoop-metrics2.properties,1
53,Scheduled snapshot period at <*> second(s).,1
54,MRAppMaster metrics system started,1
55,Adding job token for <*> to jobTokenSecretManager,1
56,Not uberizing <*> because: not enabled; too many maps; too much input;,1
