,EventTemplate,Occurrences
0,"com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",166
1,Cocoa scripting error for '<*>': four character codes must be four characters long.,71
2,AppleCamIn::systemWakeCall - messageType = <*>,56
3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
4,Thermal pressure state: <*> Memory pressure state: <*>,39
5,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
6,"CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>,<*>,<*>]-<*>, Current File [<*>-<*>-<*>,<*>,<*>]-<*>",31
7,<*>(<*>) deny network-outbound <*>,29
8,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,29
9,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,28
10,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
11,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
12,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
13,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
14,"CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>]-<*>, source path:<*>, dest path:<*>",21
15,AppleCamIn::wakeEventHandlerThread,20
16,en0: channel changed to <*>,20
17,button report: <*>,20
18,Location icon should now be in state 'Inactive',20
19,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>.,20
20,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
21,FA||Url||taskID[<*>] dealloc,17
22,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,17
23,Location icon should now be in state 'Active',17
24,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
25,CCFile::captureLog,17
26,ARPT: <*>: <*>::powerChange: System Sleep,17
27,ARPT: <*>: <*>::platformWoWEnable: WWEN[disable],16
28,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
29,en0: BSSID changed to <*>,16
30,<*>::setAwdlAutoMode Resuming AWDL,15
31,<*> successfully changed NAT64 ifstate from <*> to <*>,15
32,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>_rsn:<*>",15
33,Previous sleep cause: <*>,15
34,<*>::prePCIWake - power up complete - took <*> us,15
35,"Path not allowed in target domain: type = pid, path = <*> error = <*>: The specified service did not ship in the requestor's bundle, origin = <*>",15
36,Received Capture Event,15
37,AppleCamIn::handleWakeEvent_gated,15
38,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=(<*>) when=<*>,14
39,<*>::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,14
40,KeychainGetICDPStatus: keychain: <*>,14
41,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,13
42,Error returned from iconservicesagent: (<*>),13
43,ARPT: <*>: <*>::syncPowerState: WWEN[enabled],12
44,ARPT: <*>: <*>::platformWoWEnable: WWEN[enable],12
45,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",12
46,USBMSC Identifier (non-unique): <*>,12
47,ARPT: <*>: <*>::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
48,"<*>::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
49,<*>::<*> - retries = <*>,11
50,"ARPT: <*>: wl0: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
51,RTC: PowerByCalendarDate setting ignored,11
52,Bluetooth -- LE is supported - Disable LE meta event,11
53,[<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (<*> key) at <*> line <*>,11
54,"ARPT: <*>: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",10
55,<*>::<*>::postMessage bssid changed,10
56,<*>-[NETClientConnection <*>]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>,10
57,############################## _getSysMsgList,10
58,jemmytest,10
59,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload,9
60,"ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs",9
61,"PM response took <*> ms (<*>, powerd)",9
62,AirPort: Link Up on awdl0,9
63,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9
64,ASL Sender Statistics,9
65,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
66,<*>: IPv6 address <*> has no prefix,9
67,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
