,EventTemplate,Occurrences
0,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
1,Got assigned task <*>,305
2,Running task <*> in stage <*> (TID <*>),305
3,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
4,Found block <*> locally,257
5,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",112
6,"Partition <*> not found, computing it",75
7,Input split: hdfs://<*>,45
8,Started reading broadcast variable <*>,37
9,Reading broadcast variable <*> took <*> ms,37
10,"Block <*> stored as values in memory (estimated size <*>, free <*>)",37
11,File Output Committer Algorithm version is <*>,30
12,Saved output of task '<*>' to hdfs://<*>,30
13,<*>: Committed,30
14,Changing view acls to: <*>,2
15,Changing modify acls to: <*>,2
16,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
17,"Registered signal handlers for [TERM, HUP, INT]",1
18,Slf4jLogger started,1
19,Starting remoting,1
20,Remoting started; listening on addresses :[akka.tcp://<*>],1
21,Successfully started service 'sparkExecutorActorSystem' on port <*>.,1
22,Created local directory at <*>,1
23,MemoryStore started with capacity <*> GB,1
24,Connecting to driver: spark://<*>,1
25,Successfully registered with driver,1
26,Starting executor ID <*> on host <*>,1
27,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,1
28,Server created on <*>,1
29,Trying to register BlockManager,1
30,Registered BlockManager,1
31,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
32,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
33,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
34,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
35,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
