,EventTemplate,Occurrences
0,Interrupted while waiting for message on queue,314
1,Received connection request <*>,299
2,"Connection broken for id <*>, my id = <*>, error =",291
3,Interrupting SendWorker,266
4,Send worker leaving thread,262
5,Cannot open channel to <*> at election address <*>,86
6,Established session <*> with negotiated timeout <*> for client <*>,50
7,Accepted socket connection from <*>,48
8,Processed session termination for sessionid: <*>,47
9,Closed socket connection for client <*> which had sessionid <*>,44
10,Client attempting to establish new session at <*>,41
11,"Expiring session <*>, timeout of <*> exceeded",40
12,Connection request from old client <*>; will be dropped if server is in r-o mode,39
13,Notification time out: <*>,37
14,caught end of stream exception,37
15,******* GOODBYE <*> ********,19
16,Unexpected exception causing shutdown while sock still open,12
17,Server environment:<*>,11
18,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",5
19,LOOKING,4
20,Closed socket connection for client <*> (no session established for client),4
21,Client attempting to renew session <*> at <*>,3
22,Revalidating client: <*>,3
23,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,3
24,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",3
25,autopurge.purgeInterval set to <*>,3
26,FOLLOWING,2
27,FOLLOWING - LEADER ELECTION TOOK - <*>,2
28,Snapshotting: <*> to <*>,2
29,Getting a snapshot from leader,2
30,minSessionTimeout set to <*>,2
31,Unexpected Exception:,1
32,My election bind port: <*>/<*>,1
33,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",1
34,"New election. My id = <*>, proposed zxid=<*>",1
35,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",1
36,autopurge.snapRetainCount set to <*>,1
37,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",1
38,tickTime set to <*>,1
39,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:KeeperErrorCode = NodeExists for <*>,1
40,Starting quorum peer,1
41,Follower sid: <*> : info : org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@<*>,1
42,maxSessionTimeout set to <*>,1
43,Have quorum of supporters; starting up and setting last processed zxid: <*>,1
44,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",1
45,shutdown of request processor complete,1
46,First is <*>,1
47,Reading snapshot <*>,1
48,Sending DIFF,1
49,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",1
